,Unnamed: 0,cid,text,time,author,channel,votes,photo,heart,time_parsed,label
44,44,Ugz6kEoOF3czyigt-lh4AaABAg,congrats po Cong T.V👏👏🎉 ...inGat po palagi GOD BLESS po...watching always your vlogs from bukidnon🥰,2 months ago,Jeannilyn Novecio,UC3vb9UDYfFiPFjlZJDpHGBA,0,https://yt3.ggpht.com/ytc/AMLnZu9Uxd7sSSaVWowFPx2-LnR_xL8UtFHKuOooF3J0_YhaD2iyEZxVIan1467cASrz=s176-c-k-c0x00ffffff-no-rj,False,1655402932.569015,compliment
45,45,UgwdT4I-MbXBCjtPDel4AaABAg,happy 10m kuya congggg we are all so proud of you ❤,2 months ago,Sophia Nhicole Parin,UCJg8qy28HQ1Ro7dCVs0-rOQ,0,https://yt3.ggpht.com/UoAUOwlYaQWCVqJbKFg4LUa8XhdOyoytlba47ovbPf7VI7w3piK4DXXefVDnvt51vcH3pzfO3Wk=s176-c-k-c0x00ffffff-no-rj,False,1655402932.569015,compliment
46,46,UgxPTv30F13Yb7tucct4AaABAg,Solid to magkakaroon ng sariling subdivision yung team payaman,2 months ago,Jhags Vlog,UCnlA1XcZRihrqUKsgm-QfnQ,0,https://yt3.ggpht.com/ytc/AMLnZu99ClG2hFWatUFTS9e5179E4llcm4atGL1f-HrlEg=s176-c-k-c0x00ffffff-no-rj,False,1655402932.573014,others
47,47,UgxYFBQlVAfYGn_naUB4AaABAg,Congratulations boss Cong 🎉🎉,2 months ago,Manuel Macalalag,UCqVOnzzgSzHhnxQCnzKu6Ow,0,https://yt3.ggpht.com/ytc/AMLnZu-qIKDBZ5yii5cnhWSGAZ-wZ6pevMk7nrEJxtWRcA=s176-c-k-c0x00ffffff-no-rj,False,1655402932.579954,compliment
48,48,UgzX9CUKo3soK-2JPJN4AaABAg,"pina ka best gift sa inyo ni ate viy si
K
  I
    D
       L
         A
            T",2 months ago,Shang Hai,UCx315APPd0NjqagVvATqphQ,0,https://yt3.ggpht.com/eWa65MDd53B5tdxiX0CNBbetCKQ3UEwO3FbqHR0T7Ccz-l7XKqQhN1g69WMFOpwgItQ93RfGoQ=s176-c-k-c0x00ffffff-no-rj,False,1655402932.584013,others
49,49,UgyBk31fK24OEhdf9Ad4AaABAg,isipin mo i started watching cong nung sa fb pa sya and now he has 10 mil subs and counting salamat naging inspirasyon ka sa maraming tao especially to me. i wish to meet you someday and makapagpapicture man lang hehehe good luck sa inyong team payaman,2 months ago,Nae Kun,UCvT5cUfNwMfYTEqB0rL35Iw,0,https://yt3.ggpht.com/ytc/AMLnZu9QePN32am8CiqI9CRddCFAyW_vP_EvKQMgAq8L3A=s176-c-k-c0x00ffffff-no-rj,False,1655402932.584013,compliment
50,50,UgwtDk8PplH6MQgsALd4AaABAg,👍👍👍,2 months ago,Sally Amoore iti Daya,UCTEvLE46-vvYp85zjt4jb6w,0,https://yt3.ggpht.com/ytc/AMLnZu-MmCPiIBu6gkIreA2bDTzeVu5LEuYNOlQ-65McKw=s176-c-k-c0x00ffffff-no-rj,False,1655402932.587959,others
51,51,Ugz9w79n_072QI8wDGR4AaABAg,gusto ko yung vid mo ng bibigyan mo mama mo ng sampung milyon at nanghingi kau pang bayad koryente kapait papicture ❤️❤️❤️,2 months ago,Shang Hai,UCx315APPd0NjqagVvATqphQ,0,https://yt3.ggpht.com/eWa65MDd53B5tdxiX0CNBbetCKQ3UEwO3FbqHR0T7Ccz-l7XKqQhN1g69WMFOpwgItQ93RfGoQ=s176-c-k-c0x00ffffff-no-rj,False,1655402932.59482,others
52,52,UgwU5mpg3GXTgovx4yh4AaABAg,Kuya congkailala niyo po si harri oz diba nung barber papa ko po un paghindi ka po daw busy baka pwede daw po kita makita heheh,2 months ago,PhoenixDrive9837,UCz83SW2UaHUHKikEF4pkbyA,0,https://yt3.ggpht.com/Ia5Tr0_Y8-EDey5cFcUUIXtoqEVWyU5v-IpzzHFW7n8NJCbObJgkk_dIJyIlSNHz_Z9pZm_Q554=s176-c-k-c0x00ffffff-no-rj,False,1655402932.59482,others
53,53,UgxDJBGHaJRk5L4pAbN4AaABAg,Grats boss cong,2 months ago,ulysses pogi,UCWtKeZy5zWsn8YwwEuIeZ_w,0,https://yt3.ggpht.com/ytc/AMLnZu8L4kfpxwQvYh6Va3NTJL9aZFouLKnmL7k6CQ=s176-c-k-c0x00ffffff-no-rj,False,1655402932.59889,compliment
54,54,UgzN6KuoAj1XITyaDmR4AaABAg,ngayon ko nalang uli na rinig sayo yung chicken peace keikk pawer punyemas,2 months ago,Johnearl Rizado,UCdneq0oZ1aZRmrka2X-O5uA,0,https://yt3.ggpht.com/ytc/AMLnZu99eWgOZXqxBETF4po_oVhVPp1QZlQbOgSWUFqvSQ=s176-c-k-c0x00ffffff-no-rj,False,1655402932.987956,others
55,55,Ugz1Kym742f-A34sz214AaABAg,"Congratulations po team payaman, Sana ako din maging team payaman pag laki ko",2 months ago,BaKaLoRDs,UCfc-tH-Gr0f1JE6USKYfKkw,0,https://yt3.ggpht.com/2FcqHZK1am0i-UDCjg0J0JB1fh9fLsUYcfzV6kvYd2vfPZZlfdPcKhXofww6EZdAcDDaazjlmA=s176-c-k-c0x00ffffff-no-rj,False,1655402932.99462,compliment
56,56,UgxVcPNOFE_IWy9YVJx4AaABAg,Congratulations po idol🙌🏼💗,2 months ago,Jera Layson,UCE7vRatRJNuQgoTuLx6O3UA,0,https://yt3.ggpht.com/ytc/AMLnZu8q94z73Padw0I5Svdw0HWSqGAaFuMgjlv6DPAl=s176-c-k-c0x00ffffff-no-rj,False,1655402932.998689,compliment
57,57,Ugx2cf8ZEhS521M9Mod4AaABAg,Taena tumaas balahibo kk,2 months ago,Ally Santiago,UC781yLzUQmLYwT-p2S4LWEQ,0,https://yt3.ggpht.com/ytc/AMLnZu9TgjqtS-5YZQ13WvSYmuL1LeUwqkbEJr7LglDcJg=s176-c-k-c0x00ffffff-no-rj,False,1655402933.005573,others
58,58,UgztVIbJNHHhCFhS9fx4AaABAg,From sampong utos ng vape era here congratulations my idol,2 months ago,Vincent Tungul,UCm_OSogJYy0fyPPrmA1WzWw,0,https://yt3.ggpht.com/ytc/AMLnZu9YGOp09NJ815S2gn3Gxr2WUTGlRk1EvoMWbqxa=s176-c-k-c0x00ffffff-no-rj,False,1655402933.009643,compliment
59,59,Ugym_bXiq3_oB5kNhAR4AaABAg,Na inspire talaga ako mag nakaw sa banko  nung napanood ko to ang sarap mabuhay,2 months ago,BASTI,UCD1DteuyQRXvPmxDFLImUKw,1,https://yt3.ggpht.com/ytc/AMLnZu_oXDVCYUc9xiYhL79lb_7ENRnBlERUncPFhl_c=s176-c-k-c0x00ffffff-no-rj,False,1655402933.009643,others
60,60,UgyI7QwV8MCfC2OHzgd4AaABAg,Nayswan tenem mauungusan na nito si davie504 😅😆,2 months ago,Heroll ヘロル Asuncion,UC_LVa621hsuHy7aAU5WXHCQ,0,https://yt3.ggpht.com/ytc/AMLnZu9MdvWIJNZtscG6VqM67Qj0rtgP4hzeGKGmbGKs=s176-c-k-c0x00ffffff-no-rj,False,1655402933.013608,others
61,61,Ugy8_96mbt0hG9VQSKV4AaABAg,hindi pa cong TV unang channel mo nun haha nakakatuwa kasi ilang years kadin namin nakasama at makakasama pa haha salamat idol sa pag bibigay samin lakaz!,2 months ago,triztan guzman,UCCQpHNtRgXuQJ8DLe-gF3Rg,0,https://yt3.ggpht.com/ytc/AMLnZu80f4bQSFv5rHGpcIxpjY2YbCWIvMTcABvhiGZN=s176-c-k-c0x00ffffff-no-rj,False,1655402933.020203,others
62,62,UgwAOnUWoeYmY8QEp5t4AaABAg,Pawerrrr<3!!,2 months ago,John Christopher Emperador,UC-_FR23E5eoj4wsz7m6bSFQ,0,https://yt3.ggpht.com/ytc/AMLnZu8ZSzkCJbz9WdInXVrDyuP1s26mIyvqvm9rEg=s176-c-k-c0x00ffffff-no-rj,False,1655402933.024242,others
63,63,UgwhAAHube89XJ9Cult4AaABAg,Subscriber moko nung 400k followers ka palng cong kaya CONGRATS IKAW ANG INSPIRATION KO BAKIT PINUPUSH KO ANG FASHION ko!☝️☝️☝️ POWER!!!,2 months ago,Armando Magada Jr,UCLdK2HosstEtxr_Bn0IsZIw,0,https://yt3.ggpht.com/er9UNDSD1AfpjJNkTBPMJex43YKKYv3UGOVL0sJWXWTlV67KimFy9rgtTdeVgB6mFvY4xRSXfA=s176-c-k-c0x00ffffff-no-rj,False,1655402933.024242,compliment
